CCMS ID,Timestamp,Cum kwh,Cum kVAh,Meter ON Duration,Relay ON Duration
SMR03-0219-0252,2019-05-01 00:00:00,7280.03,7323.073,1592:54:22,781:25:13
SMR03-0219-0252,2019-04-30 00:00:00,7226.961,7269.618,1569:39:21,771:11:56
SMR03-0219-0252,2019-04-29 00:00:00,7172.506,7214.758,1546:19:51,760:46:36
SMR03-0219-0252,2019-04-28 00:00:00,7117.089,7158.92,1522:21:22,749:57:58
SMR03-0219-0252,2019-04-27 00:00:00,7064.595,7106.04,1498:22:42,738:36:55
SMR03-0219-0252,2019-04-26 00:00:00,7019.024,7060.118,1474:24:51,727:45:17
SMR03-0219-0252,2019-04-25 00:00:00,6972.859,7013.632,1451:15:29,716:59:28
SMR03-0219-0252,2019-04-24 00:00:00,6925.374,6965.812,1427:23:0,706:4:45
SMR03-0219-0252,2019-04-23 00:00:00,6876.487,6916.608,1403:25:38,695:9:47
SMR03-0219-0252,2019-04-22 00:00:00,6827.337,6867.129,1379:33:21,684:11:58
SMR03-0219-0252,2019-04-21 00:00:00,6778.609,6818.047,1355:42:48,673:16:53
SMR03-0219-0252,2019-04-20 00:00:00,6728.849,6767.929,1331:44:20,662:15:55
SMR03-0219-0252,2019-04-19 00:00:00,6678.912,6717.638,1307:45:40,651:13:20
SMR03-0219-0252,2019-04-18 00:00:00,6628.804,6667.148,1284:20:14,640:15:31
SMR03-0219-0252,2019-04-17 00:00:00,6593.582,6631.651,1265:16:44,632:11:11
SMR03-0219-0252,2019-04-16 00:00:00,6552.999,6590.773,1243:49:33,623:0:59
SMR03-0219-0252,2019-04-15 00:00:00,6502.439,6539.934,1219:59:31,611:56:10
SMR03-0219-0252,2019-04-14 00:00:00,6458.734,6495.996,1197:50:20,602:32:59
SMR03-0219-0252,2019-04-13 00:00:00,6410.253,6447.242,1174:21:40,591:46:3
SMR03-0219-0252,2019-04-12 00:00:00,6361.136,6397.851,1150:59:56,580:32:8
SMR03-0219-0252,2019-04-11 00:00:00,6309.201,6345.622,1127:13:1,569:16:44
SMR03-0219-0252,2019-04-10 00:00:00,6254.376,6290.481,1103:16:12,558:0:16
SMR03-0219-0252,2019-04-09 00:00:00,6197.746,6233.501,1079:26:57,546:46:6
SMR03-0219-0252,2019-04-08 00:00:00,6145.68,6181.179,1056:22:51,535:27:33
SMR03-0219-0252,2019-04-07 00:00:00,6087.933,6123.076,1032:52:29,524:26:7
SMR03-0219-0252,2019-04-06 00:00:00,6032.66,6067.467,1009:32:16,513:36:55
SMR03-0219-0252,2019-04-05 00:00:00,5979.493,6013.973,986:36:17,503:14:0
SMR03-0219-0252,2019-04-04 00:00:00,5920.191,5954.297,962:44:48,491:46:40
SMR03-0219-0252,2019-04-03 00:00:00,5861.15,5894.871,938:49:2,480:17:40
SMR03-0219-0252,2019-04-02 00:00:00,5802.383,5835.703,914:50:34,468:47:8
SMR03-0219-0252,2019-04-01 00:00:00,5743.026,5775.955,890:51:55,457:14:44
